Date	Time	Temperature	Pressure	Rain	solar_rad	wind_speed
05/01/2021	01:15	-3.7	1012.1	0	0	0
05/01/2021	01:30	-3.9	1012.2	0	0	0
05/01/2021	01:45	-4	1012.3	0	0	0
05/01/2021	02:00	-4.1	1012.4	0	0	0
05/01/2021	02:15	-4.1	1012.3	0	0	0
05/01/2021	02:30	-4.1	1012.3	0	0	0
05/01/2021	02:45	-4.2	1012.3	0	0	0
05/01/2021	03:00	-4.1	1012.2	0	0	0
05/01/2021	03:15	-4.2	1012.2	0	0	0
05/01/2021	03:30	-4.5	1012	0	0	0
05/01/2021	03:45	-4.7	1011.9	0	0	0
05/01/2021	04:00	-5	1011.7	0	0	0
05/01/2021	04:15	-5.2	1011.7	0	0	0
05/01/2021	04:30	-5.4	1011.5	0	0	0
05/01/2021	04:45	-5.8	1011.4	0	0	0
05/01/2021	05:00	-6.1	1011.4	0	0	0
05/01/2021	05:15	-6.4	1011.5	0	0	0
05/01/2021	05:30	-6.6	1011.3	0	0	0
05/01/2021	05:45	-6.5	1011.4	0	0	0
05/01/2021	06:00	-6.7	1011.5	0	0	0
05/01/2021	06:15	-6.8	1011.4	0	0	0
05/01/2021	06:30	-6.8	1011.2	0	0	0
05/01/2021	06:45	-6.9	1011.2	0	0	0
05/01/2021	07:00	-7	1011.4	0	0	0
05/01/2021	07:15	-6.9	1011.4	0	0	0
05/01/2021	07:30	-6.7	1011.3	0	0	0
05/01/2021	07:45	-6.7	1011.3	0	0	0
05/01/2021	08:00	-6.8	1011.4	0	0	0
05/01/2021	08:15	-6.7	1011.4	0	0	0
05/01/2021	08:30	-6.4	1011.4	0	1	0
05/01/2021	08:45	-6.3	1011.6	0	8	0
05/01/2021	09:00	-6.1	1011.5	0	18	0
05/01/2021	09:15	-5.8	1011.5	0	24	0
05/01/2021	09:30	-5.6	1011.6	0	36	0
05/01/2021	09:45	-4.9	1011.6	0	75	0
05/01/2021	10:00	-4.2	1011.4	0	102	0
05/01/2021	10:15	-3.5	1011.4	0	84	0
05/01/2021	10:30	-3.1	1011.2	0	83	0
05/01/2021	10:45	-2.9	1011.2	0	104	0
05/01/2021	11:00	-2.4	1011.1	0	118	0
05/01/2021	11:15	-1.6	1011	0	127	0
05/01/2021	11:30	-1.2	1010.8	0	120	0
05/01/2021	11:45	-1.3	1010.4	0	120	1.6
05/01/2021	12:00	-1.1	1010.3	0	143	1.6
05/01/2021	12:15	-1.2	1010.2	0	162	0
05/01/2021	12:30	-1.2	1010	0	138	0
05/01/2021	12:45	-0.9	1009.8	0	138	0
05/01/2021	13:00	-0.8	1009.7	0	156	1.6
05/01/2021	13:15	-0.7	1009.6	0	154	1.6
05/01/2021	13:30	-0.6	1009.5	0	151	0
05/01/2021	13:45	-0.3	1009.2	0	150	1.6
05/01/2021	14:00	-0.3	1009.3	0	148	1.6
05/01/2021	14:15	-0.2	1009.1	0	151	1.6
05/01/2021	14:30	-0.3	1009	0	143	1.6
05/01/2021	14:45	-0.2	1009.1	0	128	0
05/01/2021	15:00	-0.3	1009.1	0	117	1.6
05/01/2021	15:15	-0.4	1009	0	105	1.6
05/01/2021	15:30	-0.5	1009.3	0	70	0
05/01/2021	15:45	-0.6	1009.4	0	51	0
05/01/2021	16:00	-0.8	1009.6	0	44	1.6
05/01/2021	16:15	-0.9	1009.7	0	37	0
05/01/2021	16:30	-1.1	1009.8	0	31	0
05/01/2021	16:45	-1.2	1009.9	0	25	0
05/01/2021	17:00	-1.4	1009.9	0	13	0
05/01/2021	17:15	-1.7	1010	0	2	0
05/01/2021	17:30	-1.9	1010.1	0	0	0
05/01/2021	17:45	-2	1010.2	0	0	0
05/01/2021	18:00	-2.1	1010.2	0	0	0
05/01/2021	18:15	-2.3	1010.2	0	0	0
05/01/2021	18:30	-2.3	1010.2	0	0	0
05/01/2021	18:45	-2.4	1010.4	0	0	0
05/01/2021	19:00	-2.5	1010.5	0	0	0
05/01/2021	19:15	-2.6	1010.5	0	0	0
05/01/2021	19:30	-2.7	1010.6	0	0	0
05/01/2021	19:45	-2.8	1010.6	0	0	0
05/01/2021	20:00	-2.9	1010.8	0	0	0
05/01/2021	20:15	-2.9	1010.8	0	0	0
05/01/2021	20:30	-3.1	1010.9	0	0	0
05/01/2021	20:45	-3.1	1010.8	0	0	0
05/01/2021	21:00	-3.2	1011	0	0	0
05/01/2021	21:15	-3.2	1011.1	0	0	0
05/01/2021	21:30	-3.3	1011	0	0	0
05/01/2021	21:45	-3.3	1011.1	0	0	0
05/01/2021	22:00	-3.3	1011.1	0	0	0
05/01/2021	22:15	-3.3	1011.1	0	0	0
05/01/2021	22:30	-3.4	1011.2	0	0	0
05/01/2021	22:45	-3.4	1011.3	0	0	0
05/01/2021	23:00	-3.5	1011.4	0	0	0
05/01/2021	23:15	-3.5	1011.4	0	0	0
05/01/2021	23:30	-3.5	1011.3	0	0	0
05/01/2021	23:45	-3.5	1011.2	0	0	0
06/01/2021	00:00	-3.5	1011.3	0	0	0
06/01/2021	00:15	-3.5	1011.2	0	0	0
06/01/2021	00:30	-3.6	1011.1	0	0	0
06/01/2021	00:45	-3.7	1011.1	0	0	0
06/01/2021	01:00	-3.8	1011.1	0	0	0
06/01/2021	01:15	-3.8	1010.9	0	0	0
